A&A	Astronomy and Astrophysics
BAAA	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...47	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...48	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...49	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...50	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...51	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...52	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...53	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...54	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...55	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...56	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...57	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...58	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...59	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...60	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...61	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...62	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAA...63	Boletin de la Asociacion Argentina de Astronomia La Plata Argentina
BAAPG	Bulletin of the American Association of Petroleum Geologists
BAAS	Bulletin of the American Astronomical Society
BAAVC	British Astronomical Association Variable Star Section Circular
BABel	Bulletin Astronomique de Belgrade
BADPG	Berlin East Germany Akademie Verlag GmbH Ergebnisse Plasmaphysik und Gaselektronik
BAFOE	Bulletin Association Fran. Obs. Etoiles Variables
BAICz	Bulletin of the Astronomical Institutes of Czechoslovakia
BAIS	Bulletin of the Astronomical Interplanetary Society
BAMS	Bulletin of the American Meteorological Society
BAMaS	Bulletin of the American Mathematical Society
BAN	Bulletin of the Astronomical Institutes of the Netherlands
BANS	Bulletin of the Astronomical Institutes of the Netherlands Supplement Series
BAOM	Boletin de la Astronomico Observatorio de Madrid
BAORB	Bulletin of the Astronomical Observatoire Royale de Belgique
BAPS	Bulletin of the American Physical Society
BAPSS	Bulletin de l'Academie Polonaise des Sciences Series des Sciences Mathematiques Astronomiques et Physiques
BARB	Bulletin de l'Academie Royale de Belgique
BASBr	Bulletin of the Astronomical Society of Brazil
BASI	Bulletin of the Astronomical Society of India
BASIP	Bulletin of the Astronomical Society of India Proceedings
BAST	Bulletin of Atmospheric Science and Technology
BAVMM	Berlin East Germany Akademie Verlag GmbH Shriftenreihe des Zentralinstituts Mathematik und Mechanik
BAVMS	BAV Magazine Spectroscopy
BAVSM	Berliner Arbeitsgemeinschaft fuer Veraenderliche Sterne - Mitteilungen
BAVSO	Bulletin of the American Association of Variable Stars Observers
BAVSR	BAV Rundbrief - Mitteilungsblatt der Berliner Arbeits-gemeinschaft fuer Veraenderliche Sterne
BAWMN	Bayerische Akademie Wissenschaften mathematisch naturwissenschaftliche Klasse Sitzungsberichte
BAth	National Observatory of Athens Greece Bulletin of the Astronomical Institute
BBCEn	BBC Engineering
BBGPC	Berichte der Bunsen-Gesellschaft Physical Chemistry Chemical Physics Berichte
BBRC	Biochemical and Biophysical Research Communications
BBSAG	Bulletin der Bedeckungsveraenderlichen-Beobachter der Schweizerischen Astronomischen Gesellschaft
BBUSM	Babes Bolyai Universitas Studia Series Physica
BBUSS	Babes Bolyai Universitas Studia Series Mathematica
BCAIC	Bulletin of the Central Astronomical Institute of Czechoslovakia
BCB	Biochemistry and Cell Biology
BCFHT	Bulletin d'information du telescope Canada-France-Hawaii
BCNRC	Canada National Research Council Division Mechanical Engineering National Aeronautical Establishment Quarterly Bulletin
BCNRS	Bulletin Signaletique - Centre National de la Recherche Scientifique
BCSAB	Bulletin Cl. Science Academy Royal de Belgique
BCrAO	Bulletin Crimean Astrophysical Observatory
BDus	Byulleten' Instituta Astrofiziki Dushanbe Akademiya Nauk Tadzhikskoj SSR
BEPM	Bielefeld Encounters in Physics and Mathematics
BESBe	Beobachtungs-Ergebnisse der Koniglichen Sternwarte zu Berlin
BFWSG	Braunschweig Friedr Vieweg und Sohn GmbH
BGBGM	Berlin Gebrueder Borntraeger Geoexploration Monographs Series
BGD	Biogeosciences Discussions
BGNS	Bulletin Geodesique, Nouvelle Series
BGSA	Bollettino Geod. Scienzi Affini
BGeo	Biogeosciences
BGeod	Bulletin Geodesique
BHarO	Harvard College Observatory Bulletin
BIAst	Bjull. Inst. Astrofizikii
BIBGI	Bulletin d'Information du Bureau Gravimetrique International
BICDS	Bulletin d'Information du Centre de Donnees Stellaires
BIEBe	Bulletin d'Information d'Etoiles Be
BIHCD	Bureau Internationale Heure, Paris, Circulaire
BIMAF	Boletin del Instituto de Matematica Astronomica y Fisica Universidad Nacional de Cordoba Argentina
BIMIA	Bulletin of the Institute of Mathematics and Its Applications
BIRM	Brussels Institute Royal Meteorologique de Belgique
BIT	Behaviour & Information Technology
BITA	Byulleten' Instituta Teoreticheskoj Astronomii (Leningrad)
BITad	Biulletini of the Astronomical Institute Akademiia Nauk Tadzhikskoi
BITon	Boletin del Instituto de Tonantzintla
BJAP	British Journal of Applied Physics
BJET	British Journal of Educational Technology
BJHS	The British Journal for the History of Science
BJMSP	British Journal of Mathematical and Statistical Psychology
BJP	British Journal of Psychology
BJPS	The British Journal for the Philosophy of Science
BKAD	Beobachtungen der Kaiserlichen Universitaets-Sternwarte Dorpat
BKUJ	Beobachtungen der Kaiserlichen Universitaets-Sternwarte Jurjew
BKoAS	Bulletin of Korean Astronomical Society
BKobO	Bulletin of the Kobe Marine Observatory Kobe Japan
BLPI	Bulletin of the Lebedev Physics Institute
BLabR	AT&amp;T Bell Laboratories Record
BMBio	Bulletin of Mathematical Biology
BMFRS	Biographical Memoirs of Fellows of the Royal Society
BMNAS	Biographical Memoirs National Academy of Sciences
BMOE	Boletin mensual del Observatorio del Ebro
BMP	Biological and Medical Physics
BMai	Bulletin de la Station Astrophotographique de Mainterne
BOBeo	Bulletin de l'Observatoire Astronomique de Belgrade
BOOde	Odesskij Gosudarstvennyi Universitet im. I. I. Mechnikova Byulletin Astronomicheskoj Observatorii
BOPul	Bulletin (Izvestiya) de l'Observatoire Central a Poulkovo
BOTT	Boletin de los Observatorios Tonantzintla y Tacubaya
BOTor	Biuletyn Obserwatoium Astronomicznego Uniwersytetu M. Kopernika w Toruniu
BPAS	Bulletin of Pure and Applied Science (Physics)
BRASP	Bulletin of the Russian Academy of Sciences, Physics
BRCPS	Biological Reviews of the Cambridge Philosophical Society
BRIOA	Boletin Real Instituto y Observatorio de la Armada (San Fernando, Cadiz)
BRMIC	Behavior Research Methods Instruments and Computers
BROGS	Belgian Royal Observatory Communications Series Geophysics Series
BSAE	Bulletin of the Soviet Antarctic Expedition
BSAF	Bulletin de la Societe Astronomique de France
BSAFR	Bulletin de la Societe Astronomique de France et Revue Mensuelle d'Astronomie, de Meteorologie et de Physique du Globe
BSAL	Bulletin de la Societe Astronomique de Liege
BSAO	Bulletin of the Special Astrophysics Observatory
BSASP	Bulletin de la Societe des Amis des Sciences et des Lettres de Poznan
BSAst	Bulletin of the Section of Astronomy
BSBA	Bulletin de la Societe Belge d'Astronomie
BSD	Hamburger Sternwarte Bergedorf
BSEEA	Iasi Institutul Politehnic Buletinul Sectia Electrotehnica Electronica Automatizari
BSMMT	Iasi Institutul Politehnic Buletinul Sectia Matematica Mecanica Teoretica Fizica
BSMT	Iasi Institutul Politehnic Buletinul Sectia Mecanica Tehnica
BSRSL	Bulletin de la Societe Royale des Sciences de Liege
BSSA	Bulletin Of The Seismological Society Of America
BSSR	AN BSSR Institut Teplo i Massoobmena Vsesoiuznaia Konferentsiia Teplomassoobmenu Minsk Belorussian SSR Preprint
BSTJ	Bell System Technical Journal
BSolD	Byulletin Solnechnye Dannye Akademie Nauk SSSR
BStaO	Byulleten' Stalinabadskoj Astronomicheskoj Observatorii Akademiya Nauk Tadzhikskoj SSR
BTE	British Telecommunications Engineering
BTSNU	Bulletin of Taras Shevchenko National University of Kyiv Astronomy
BTUM	Braunschweig Technische Universitaet Mitteilungen
BTasO	Bulletin of the Tashkent Observatory
BToIT	Bulletin of the Tokyo Institute of Technology
BTok	Bulletin of the Tokyo Astronomical Observatory
BUAAJ	Beijing University Aeronautics and Astronautics Journal
BUBes	Bulletin of the University of Besancon Observatory
BUEOP	Bulletin of Ukrainian Earth Orientation Parameters Laboratory
BVVSA	Bratislava Veda Vydavatelstvo Slovenskej Akademie Vied
BVol	Bulletin of Volcanology
BYam	Bulletin of the Yamagata University Yamagata Japan
BaPhL	Balkan Physics Letters
BaltA	Baltic Astronomy
BasR	Basin Research
BayAn	Bayesian Analysis
BdWis	Bild der Wissenschaften
BeElM	Beskontaktnye Elektricheskie Mashiny
BePl	Beitraege Plasmaphysik
BeSN	Be Star Newsletter
BeiGe	Beitraege zur Geophysik
BeiMP	Beitraege zur Mineralogie und Petrographie
BeiRe	Reprints Beijing Astronomical Observatory Academia Sinica
BerAJ	Berliner Astronomisches Jarbuch
Bern	Bernoulli
Bes1K	Observatoire de Besancon
BiBi	Bioinspiration and Biomimetics
BiLuf	Bildmessung und Luftbildwessen
BioFa	Biofabrication
BioMa	Biomedical Materials
BioMi	Biomedical Microdevices
BioSc	BioScience
Biome	Biometrika
Bion	Bionika
Biopk	Biophysik
Biorh	Biorheology
BiotL	Biotechnology Letters
BlDok	Bolgarska Akademiia Nauk Doklady
BlGJ	Bulgarian Geophysical Journal
BlGSp	Bulgarsko Geofizichno Spisanie
BlGeo	Bulgarska Akademiia Naukite Geofizichni Institut Izvestiia
BlJMH	Bulgarian Journal of Meteorology and Hydrology
BlJPS	Bulgarian Journal of Physics Supplement
BlJPh	Bulgarian Journal of Physics
BlMat	Bulgarska Akademiia Naukite Matematicheski Institut Izvestiia
BlSpi	Bulgarska Akademiia Naukite Spisanie
BlTek	Bulgarska Akademiia Naukite Institut Tekhnicheska Kibernetika Izvestiia
BlTse	Bulgarska Akademiia Naukite Tsentralna Laboratoriia Geodeziia Izvestiia
BlazD	BLAZAR Data
BlgAJ	Bulgarian Astronomical Journal
BoLMe	Boundary-Layer Meteorology
BoSAI	Bollettino della Societa Astronomica Italiana
BpBeS	Biophysics and Bioengineering Series
BpJ	Biophysical Journal
BpRL	Biophysical Reviews and Letters
BrCTr	British Ceramic Transactions
BrJPh	Brazilian Journal of Physics
BrWK	Brennstoff Waerme Kraft
Brain	Brain
BuAkK	Budapest Akademiai Kiado
BuAsI	Bulletin Astronomique, Serie I
BuAsR	Bulletin Astronomique, Revue Generale des Travaux Astronomiques
BuAst	Bulletin Astronomique
BuAtS	Bulletin of the Atomic Scientists
BuChr	Bulletin Chronometrique (Besancon)
BuENS	Osaka Prefecture University Bulletin Series Engineering Natural Sciences
BuGeo	Bulletin of Geosciences
BuIPS	Bulletin of the Israel Physical Society
BuKwa	Bulletin of the Kwasan Observatory, Kyoto
BuLMS	Bulletin of the London Mathematical Society
BuLyo	Bulletin de l'Observatoire de Lyon
BuMat	Bulletin Mathematique
BuONC	Bulletin of the Special Astrophysical Observatory, Northern Caucasus
BuSSA	The Bulletin of the Seismological Society of America
BuYer	Bulletin of the Yerevan Astronomical Observatory
ByuRe	Byurakan Astrophysical Observatory Armenia USSR Reprints
C&E	Ciel et Espace
C&G	Computers & Geosciences
C&T	Ciel et Terre
CAD	Computer-Aided Design
CAGHS	Correspondance Astronomique, Geographique, Hydrographique et statistique
CANM	Communications in Applied Numerical Methods
CAP	Current Applied Physics
CAPJ	Communicating Astronomy with the Public Journal
CAS	Cambridge Astrophysics Series
CASI	CASI Transactions
CASJQ	Canadian Aeronautics and Space Journal Quarterly
CBET	Central Bureau Electronic Telegrams
CBOAA	Comet Bulletin of the Oriental Astronomical Association
CBR	Computers and Biomedical Research
CCCUK	Comet Circular of the Chevchenkov University Kiev
CCDA	CCD Astronomy
CCM	Clays and Clay Minerals
CCoPh	Communications in Computational Physics
CCpFS	Ceskoslovensky Casopis pro Fyziku Sekce
CEAB	Central European Astrophysical Bulletin
CEAS	CEAS Space Journal
CEE	Computers and Electrical Engineering
CEEJ	Canadian Electrical Engineering Journal
CEER	Civil And Environmental Engineering Reports
CEEng	Civil And Environmental Engineering Reports
CEGB	CEGB Research
CEJ	Chemistry A European Journal
CEJE	Central European Journal of Engineering
CEJG	Central European Journal of Geosciences
CEJGl	Central European Journal of Geology
CEJPh	Central European Journal of Physics
CERDA	Chemical Engineering Research & Design. Part A, Transactions of the Institution of Chemical Engineers
CEST	Communications Gillies Inc Electronic Systems in Transportation
CESW	Combustion, Explosion and Shock Waves
CEnTp	Engineering Thermophysics China
CEnvI	City and Environment Interactions
CEyeR	Current Eye Research
CF	Computers and Fluids
CG	Computers and Geosciences
CGDAM	Conformal Geometry and Dynamics of the American Mathematical Society
CGIGS	Chemical Geology: Isotope Geoscience Section
CGIP	Computer Graphics Image Processing
CGeo	China Geology
CGeot	Computers and Geotechnics
CHOCS	CHOCS
CIBu	COSPAR Information Bulletin
CIDA	CIDA
CIPSG	Canadian Information Processing Society Graphics Interface
CITM	Chubu Institute Technology Memoirs
CJCh	Canadian Journal Of Chemistry-revue Canadienne De Chimie
CJChE	Canadian Journal of Chemical Engineering
CJECE	Canadian Journal of Electrical Computer Engineering
CJLTP	Chinese Journal of Low Temperature Physics
CJMat	Canadian Journal Of Mathematics-journal Canadien De Mathematiques
CJRes	Canadian Journal of Research
CJSMT	Canadian Journal of Science Mathematics and Technology Education
CKH	Chagyo Kenkyu Hokoku (Tea Research Journal)
CLNP	Cambridge Lecture Notes in Physics
CLP	Cargese Lectures in Physics
CLS	Curved and Layered Structures
CLic2	Contributions of Lick Observatory, Series II
CMAME	Computer Methods in Applied Mechanics and Engineering
CMDRG	Chislennye Metody Dinamike Razrezhennykh Gazov
CMMPh	Computational Mathematics and Mathematical Physics
CMPNC	Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology
CMPPh	Cambridge Monographs on Plasma Physics
CMPh	Condensed Matter Physics
CMT	Continuum Mechanics and Thermodynamics
CMWCI	Contributions from the Mount Wilson Observatory / Carnegie Institution of Washington
CMaPh	Communications in Mathematical Physics
CMwA	Computers and Mathematics with Applications
CNME	Communications in Numerical Methods in Engineering
CNRAe	CNR Aeritalia S
CNSMP	Comet News Service, McDonnell Planetarium
CNSNS	Communications in Nonlinear Science and Numerical Simulations
CNan	Current Nanoscience
COA	Computational Optimization and Applications
CODAB	CODATA Bulletin
COES	Current Opinion in Environmental Sustainability
COIR	Clinical Oral Implants Research
COMTR	COMSAT Technical Review
CONMS	Contributions of the Observatory of New Mexico State University, Las Cruces Special Series
COP	Coherent Optical Phenomena
COSSM	Current Opinion in Solid State and Materials Science
CP	Chemical Physics
CPAM	Communications in Pure Applied Mathematics
CPC	Combinatorics, Probability and Computing
CPL	Chemical Physics Letters
CPM	Computational Particle Mechanics
CPMCM	Commentationes Physico-Mathematicae et Chemico-Medicae
CPPM	Clinical Physics and Physiological Measurement
CPR	Chemical Physics Reports
CPSS	Chemical Physics of Solid Surfaces
CPh	Coherent Phenomena
CPhD	Cape Photographic Durchmusterung
CQGra	Classical and Quantum Gravity
CR	Comptes Rendus Academie des Sciences (serie non specifiee)
CR2	Academie des Sciences Comptes Rendus Serie Mecanique Physique Chimie Sciences de la Terre et de l Univers
CRABS	Comptes Rendus de l'Academie Bulgare des Sciences
CRAS	Academie des Sciences Paris Comptes Rendus
CRASA	Academie des Sciences Paris Comptes Rendus Vie Academique Semester Supplement
CRASB	Academie des Sciences Paris Comptes Rendus Serie B Sciences Physiques
CRASE	Comptes Rendus de l'Acad&eacute;mie des Sciences - Series IIA - Earth and Planetary Science
CRASG	Academie des Sciences Paris Comptes Rendus Serie Generale La Vie des Sciences
CRASM	Academie des Sciences Paris Comptes Rendus Serie Sciences Mathematiques
CRASP	Academie des Sciences Paris Comptes Rendus Serie Physique Astrophysique
CRB	C.R. Acad. Sci. Ser. B1
CRGeo	Comptes Rendus Geoscience
CRJS	Comptes Rendus sur les Journees de Strasbourg
CRLJ	Communications Research Laboratory Journal
CRLRv	Communications Research Laboratory Review
CRMat	Comptes Rendus Mathematique
CRMec	Comptes Rendus Mecanique
CRPS	Cell Reports Physical Science
CRPal	Comptes rendus - Palevol
CRPhy	Comptes Rendus Physique
CRSPH	Compte Rendu des Seances de la Societe de Physique et d'Histoire Naturelle de Geneve
CRSS	Current Research in Space Science
CRSSM	Critical Reviews in Solid State & Material Sciences
CRST	Cold Regions Science and Technology
CS&D	Computational Science and Discovery
CS&L	Computer Speech & Language
CSASG	Contributions of the Slovak Academy Sciences Geophysical Institute
CSBS	Computing and Software for Big Science
CSE	Computing in Science and Engineering
CSEd	Computer Science Education
CSF	Chaos Solitons and Fractals
CSFX	Chaos Solitons and Fractals: X
CSMA	Computational Structural Mechanics and Applications
CSMPA	Ankara University Faculty of Science Communications, Series A2-Ad Physical Sciences and Engineering
CSPSE	Ankara Universite Faculte des Sciences Communications Serie Mathematiques Physique et Astronomie
CSR	Continental Shelf Research
CSSE	Cultural Studies of Science Education
CSSP	Circuits Systems and Signal Processing
CST	Combustion Science and Technology
CSci	Current Science
CTBio	Current Topics in Biophysics
CTE	Ciencias de la Tierra y del Espacio
CTGeo	Contemporary Trends in Geoscience
CTM	Combustion Theory and Modelling
CTMPC	Cambridge Topics in Mineral Physics and Chemistry
CTmp	Connaissance des Temps
CVGIP	Computer Vision Graphics and Image Processing
CVIU	Computer Vision and Image Understanding
CaASJ	Canadian Aeronautics and Space Journal
CaGeJ	Canadian Geotechnical Journal
CaJCE	Canadian Journal of Civil Engineering
CaJCh	Canadian Journal of Chemistry
CaJES	Canadian Journal of Earth Sciences
CaJPS	Canadian Journal of Physics Supplement
CaJPh	Canadian Journal of Physics
CaJRS	Canadian Journal of Remote Sensing
CaJSS	Canadian Journal of Soil Science
